date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:02:12	103836/103836	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://metanft.hasnaanajmi.org/images/bid/9.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/bid/9.jpg	(from https://metanft.hasnaanajmi.org/shop.html)
04:02:12	198440/198440	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://metanft.hasnaanajmi.org/images/bid/10.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/bid/10.jpg	(from https://metanft.hasnaanajmi.org/shop.html)
04:02:14	92952/92952	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://metanft.hasnaanajmi.org/images/collections/13.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/collections/13.jpg	(from https://metanft.hasnaanajmi.org/collection.html)
04:02:16	103263/103263	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://metanft.hasnaanajmi.org/images/collections/14.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/collections/14.jpg	(from https://metanft.hasnaanajmi.org/collection.html)
04:02:17	780869/780869	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://metanft.hasnaanajmi.org/images/collections/12.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/collections/12.jpg	(from https://metanft.hasnaanajmi.org/index-2.html)
04:02:17	36968/36968	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://metanft.hasnaanajmi.org/images/collections/15.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/collections/15.jpg	(from https://metanft.hasnaanajmi.org/collection.html)
04:02:17	449596/449596	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://metanft.hasnaanajmi.org/images/bid/14.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/bid/14.jpg	(from https://metanft.hasnaanajmi.org/shop.html)
04:02:20	412332/412332	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://metanft.hasnaanajmi.org/images/bid/13.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/bid/13.jpg	(from https://metanft.hasnaanajmi.org/shop.html)
04:02:20	153722/153722	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://metanft.hasnaanajmi.org/images/collections/21.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/collections/21.jpg	(from https://metanft.hasnaanajmi.org/collection.html)
04:02:20	91254/91254	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://metanft.hasnaanajmi.org/images/collections/16.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/collections/16.jpg	(from https://metanft.hasnaanajmi.org/collection.html)
04:02:20	20306/20306	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://metanft.hasnaanajmi.org/images/collections/23.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/collections/23.jpg	(from https://metanft.hasnaanajmi.org/collection.html)
04:02:22	191209/191209	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:09%20GMT	https://metanft.hasnaanajmi.org/images/collections/22.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/collections/22.jpg	(from https://metanft.hasnaanajmi.org/collection.html)
04:02:23	46992/46992	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Apr%202023%2011:27:08%20GMT	https://metanft.hasnaanajmi.org/images/collections/18.jpg	C:/Users/PAVILION/Desktop/testsite/meta/metanft.hasnaanajmi.org/images/collections/18.jpg	(from https://metanft.hasnaanajmi.org/collection.html)
